crash_start,crash_end,duration,drawdown
1987-10-14,1987-10-21,7,-0.2361703037795186
2020-03-05,2020-03-13,8,-0.23534764825952498
2008-10-08,2008-10-13,5,-0.15414387696659354
1987-10-22,1987-10-27,5,-0.1416648920791068
2011-07-29,2011-08-09,11,-0.13829277897616446
2002-07-08,2002-07-16,8,-0.13500537276003235
2008-10-15,2008-10-17,2,-0.1306011080043964
2002-07-19,2002-07-25,6,-0.12693061313773646
2015-08-11,2015-08-25,14,-0.1256358756048841
2003-01-13,2003-01-28,15,-0.12493985835107413
2001-09-05,2001-09-12,7,-0.11918513308949735
2009-01-07,2009-01-16,9,-0.11487516465612868
